group,child,parent
663,smooth-haired fox terrier,fox terrier
663,wirehair,terrier
663,Boston bull,terrier
663,Airedale,terrier
663,Border terrier,terrier
663,Clydesdale terrier,terrier
663,bullterrier,terrier
663,Yorkshire terrier,terrier
663,Norwich terrier,terrier
663,Manchester terrier,terrier
663,Skye terrier,terrier
663,Dandie Dinmont,terrier
663,Australian terrier,terrier
663,Bedlington terrier,terrier
663,Staffordshire bullterrier,terrier
663,American Staffordshire terrier,terrier
663,Sealyham terrier,terrier
663,Norfolk terrier,terrier
663,West Highland white terrier,terrier
663,Welsh terrier,terrier
663,Lhasa,terrier
663,giant schnauzer,schnauzer
663,miniature schnauzer,schnauzer
663,standard schnauzer,schnauzer
663,schnauzer,terrier
663,Irish terrier,terrier
663,Kerry blue terrier,terrier
663,soft-coated wheaten terrier,terrier
663,Tibetan terrier,terrier
663,Lakeland terrier,terrier
663,toy Manchester,terrier
664,calcite,spar
664,Iceland spar,calcite
664,chalk,spar
664,feldspar,spar
664,plagioclase,feldspar
664,albite,feldspar
664,orthoclase,feldspar
664,alabaster,spar
664,moonstone,feldspar
665,ancien regime,government
665,puppet government,government
665,totalitarian state,government
665,military government,government
665,government-in-exile,government
665,local government,government
665,municipal government,local government
665,welfare state,government
665,state government,local government
665,United States government,federal government
665,empire,government
665,authoritarian state,government
665,federal government,government
665,commission plan,government
665,papacy,government
665,bureaucracy,government
665,state,government
665,government,state
665,Court of Saint James's,court
665,Soviets,court
665,town meeting,court
665,Downing Street,court
665,Porte,court
665,palace,court
665,Capital,court
666,tongue and groove joint,joint
666,rabbet joint,joint
666,strap hinge,hinge
666,positive pole,anode
666,butt weld,weld
666,thermojunction,junction
666,junction barrier,junction
666,ball-and-socket joint,joint
666,hinge,joint
666,fish joint,joint
666,distributor point,contact
666,welt,seam
666,tread,joint
666,butt joint,joint
666,contact,electrical contact
666,splice,joint
666,scarf joint,joint
666,lap joint,joint
666,knuckle joint,joint
666,p-n junction,junction
666,terminal,contact
666,butt hinge,hinge
666,weld,joint
666,joint,connection
666,electrical contact,contact
666,mortise joint,joint
666,toggle joint,joint
666,junction,connection
666,fell,seam
666,tee hinge,hinge
666,anode,positive pole
666,wiper,contact
666,negative pole,cathode
666,short circuit,junction
666,spot weld,weld
666,sound bow,joint
666,dovetail,joint
666,miter joint,joint
666,seam,joint
666,suture,joint
667,hypoxia,suffocation
667,anoxia,suffocation
667,ischemic anoxia,anoxia
667,anemic anoxia,anoxia
667,ischemic hypoxia,hypoxia
667,anemic hypoxia,hypoxia
667,hypoxic hypoxia,hypoxia
667,anoxic anoxia,anoxia
667,mountain sickness,hypoxia
667,altitude sickness,hypoxia
667,starvation,undernourishment
667,hunger,undernourishment
667,thirst,dehydration
667,dehydration,undernourishment
667,undernourishment,hunger
667,sex drive,drive
667,drive,emptiness
667,polydipsia,thirst
667,edacity,hunger
667,bulimia,hunger
668,photoelectric emission,photoemission
668,thermionic emission,emission
668,secondary emission,emission
668,field emission,emission
668,alpha radiation,corpuscular radiation
668,beta radiation,corpuscular radiation
668,neutron radiation,corpuscular radiation
668,emission,radiation
669,coherence,consistency
669,contact,connection
669,association,connection
669,continuity,consistency
669,union,alliance
669,coalition,alliance
669,synapse,interconnection
669,junction,interconnection
669,tangency,connection
669,connection,interconnection
669,marriage,alliance
669,concatenation,connection
669,osculation,connection
669,alliance,connection
669,neuromuscular junction,junction
669,anastomosis,junction
669,federalization,union
669,syncretism,coherence
670,rounders,ball game
670,stickball,ball game
670,hardball,baseball
670,perfect game,no-hit game
670,steal,baseball
670,four-hitter,baseball
670,professional baseball,baseball
670,two-hitter,baseball
670,five-hitter,baseball
670,ball game,ball
670,one-hitter,baseball
670,three-hitter,baseball
670,daisy cutter,baseball
670,softball,ball game
670,baseball,ball game
671,serve,tennis stroke
671,drop shot,tennis stroke
671,drive,tennis stroke
671,backhand drive,drive
671,overhead,tennis stroke
671,double fault,fault
671,let,tennis stroke
671,backhand,tennis stroke
671,lob,tennis stroke
671,half volley,ground stroke
671,fault,tennis stroke
671,passing shot,ground stroke
671,two-handed backhand,backhand
671,footfault,fault
671,ground stroke,tennis stroke
671,return,tennis stroke
671,get,tennis stroke
671,forehand,tennis stroke
671,chop,tennis stroke
671,ace,tennis stroke
671,forehand drive,drive
671,volley,tennis stroke
672,eyesight,sight
672,stereoscopic vision,binocular vision
672,distance vision,foveal vision
672,binocular vision,sight
672,achromatic vision,color vision
672,peripheral vision,sight
672,twenty-twenty,acuity
672,monocular vision,sight
672,night vision,sight
672,near vision,foveal vision
672,acuity,sight
672,stigmatism,acuity
672,central vision,foveal vision
672,sight,modality
672,absolute pitch,hearing
672,touch,somatosense
672,hearing,modality
672,taste,modality
672,color vision,sight
672,somatosense,modality
672,oxyopia,acuity
672,smell,modality
672,kinesthesia,somatosense
672,ear,hearing
672,nose,smell
673,thioridazine,major tranquilizer
673,temazepam,benzodiazepine
673,pimozide,major tranquilizer
673,loxapine,major tranquilizer
673,estazolam,benzodiazepine
673,oxazepam,benzodiazepine
673,alprazolam,benzodiazepine
673,diazepam,benzodiazepine
673,clozapine,major tranquilizer
673,chlordiazepoxide,benzodiazepine
673,meprobamate,minor tranquilizer
673,flurazepam,benzodiazepine
673,hydroxyzine hydrochloride,tranquilizer
673,lorazepam,benzodiazepine
673,haloperidol,major tranquilizer
673,molindone,major tranquilizer
673,triazolam,benzodiazepine
673,nitrazepam,benzodiazepine
673,buspirone,minor tranquilizer
673,prochlorperazine,major tranquilizer
673,midazolam,benzodiazepine
673,fluphenazine,major tranquilizer
673,perphenazine,major tranquilizer
673,chlorpromazine,major tranquilizer
674,light beer,beer
674,draft beer,beer
674,ale,beer
674,Pilsner,beer
674,Burton,beer
674,Munich beer,beer
674,stout,beer
674,malt,beer
674,bock,beer
674,Weizenbier,beer
674,porter,beer
674,Weizenbock,bock
674,pale ale,ale
674,Oktoberfest,beer
674,lager,beer
674,Guinness,stout
674,bitter,beer
674,suds,beer
674,Weissbier,Weizenbier
674,beer,alcohol
675,Federal Bureau of Investigation,law enforcement agency
675,Federal Law Enforcement Training Center,law enforcement agency
675,Scotland Yard,law enforcement agency
675,Financial Crimes Enforcement Network,law enforcement agency
675,police,law enforcement agency
675,Gestapo,secret police
675,Bureau of Alcohol Tobacco and Firearms,law enforcement agency
675,Federal Bureau of Prisons,law enforcement agency
675,Federal Judiciary,law enforcement agency
675,Royal Canadian Mounted Police,law enforcement agency
675,Europol,law enforcement agency
675,Drug Enforcement Administration,law enforcement agency
675,posse,law enforcement agency
675,Criminal Investigation Command,law enforcement agency
675,Schutzstaffel,secret police
675,Mutawa'een,law enforcement agency
675,National Institute of Justice,law enforcement agency
675,United States Marshals Service,law enforcement agency
675,gendarmerie,law enforcement agency.
676,raw beauty,beauty
676,sultriness,sex appeal
676,appeal,attractiveness
676,spiff,attractiveness
676,winsomeness,pleasingness
676,pulchritude,beauty
676,comeliness,beauty
676,bewitchery,charisma
676,picturesqueness,beauty
676,adorability,pleasingness
676,prettiness,beauty
676,exquisiteness,beauty
676,glamor,attractiveness
676,sex appeal,attractiveness
676,curvaceousness,beauty
676,siren call,bewitchery
676,handsomeness,beauty
676,charisma,attractiveness
677,Trotsky,Bolshevik
677,Jaffar,extremist
677,Robespierre,Jacobin
677,Trotskyite,Trotsky
677,revolutionist,extremist
677,Bolshevik,revolutionist
677,Sacco,anarchist
677,Zapata,insurgent
677,Turner,mutineer
677,Marx,revolutionist
677,Tucker,anarchist
677,Danton,Jacobin
677,bin Laden,terrorist
677,young Turk,radical
677,Zhou En-lai,revolutionist
677,Goldman,anarchist
677,Villa,insurgent
677,Kropotkin,anarchist
677,insurgent,revolutionist
677,hacker,sleeper
677,Guevara,revolutionist
677,Vanzetti,anarchist
677,sleeper,terrorist
677,Corday,counterrevolutionist
677,Young Turk,radical
677,radical,revolutionist
677,Marti,radical
677,Sanchez,radical
677,Marat,radical
677,Vesey,radical
677,anarchist,revolutionist
677,suicide bomber,terrorist
677,Wallace,radical
677,Mao,revolutionist
677,Girondist,counterrevolutionist
677,leveler,counterrevolutionist
677,Mirabeau,counterrevolutionist
677,Bakunin,anarchist
677,kamikaze,terrorist
677,terrorist,counterrevolutionist
677,Wobbly,radical
677,dynamiter,terrorist
677,counterrevolutionist,revolutionist
678,adoption,blessing
678,embrace,reward
678,backing,support
678,idealization,glorification
678,reward,blessing
678,admiration,glorification
678,sentimentalization,glorification
678,adoration,glorification
678,glorification,blessing
678,carrot,reward
679,procarbazine,alkylating agent
679,lomustine,alkylating agent
679,mercaptopurine,antimetabolite
679,periwinkle plant derivative,antineoplastic
679,vinblastine,antineoplastic
679,mithramycin,antineoplastic antibiotic
679,antineoplastic,cytotoxic drug
679,chlorambucil,alkylating agent
679,thiotepa,alkylating agent
679,antineoplastic antibiotic,antineoplastic
679,thioguanine,antimetabolite
679,methotrexate,antimetabolite
679,melphalan,alkylating agent
679,floxuridine,antimetabolite
679,fluorouracil,antimetabolite
679,vincristine,antineoplastic
679,asparaginase,antineoplastic
680,anthozoan,coral
680,gorgonian,coral
680,sea fan,gorgonian
680,sea pen,anthozoan
680,sea anemone,anthozoan
680,sea feather,gorgonian
680,stony coral,coral
680,actinia,sea anemone
680,mushroom coral,stony coral
680,red coral,stony coral
680,brain coral,stony coral
680,staghorn coral,stony coral
681,psychotherapy,therapy
681,family therapy,therapy
681,behavior therapy,therapy
681,play therapy,therapy
681,group therapy,therapy
681,hypnotherapy,therapy
681,implosion therapy,behavior therapy
681,assertiveness training,behavior therapy
681,exposure therapy,behavior therapy
681,aversion therapy,behavior therapy
681,desensitization technique,behavior therapy
681,hypnoanalysis,psychotherapy
681,self-analysis,psychotherapy
681,reciprocal inhibition,behavior therapy
681,crisis intervention,therapy
681,token economy,behavior therapy
681,client-centered therapy,therapy
681,psychoanalysis,psychotherapy
682,Solvay process,industrial process
682,Acheson process,industrial process
682,fractionation,industrial process
682,carbonization,industrial process
682,Haber process,industrial process
682,fractional distillation,industrial process
682,electrostatic precipitation,industrial process
682,cyanide process,industrial process
682,destructive distillation,industrial process
682,Bessemer process,industrial process
683,collision,accident
683,crash,collision
683,fender-bender,collision
683,capsizing,accident
683,shipwreck,accident
683,prang,collision
683,pileup,collision
683,fatal accident,accident
683,concussion,injury
683,smash,collision
683,dismemberment,mutilation
683,collateral damage,accident
683,injury,consequence of an accident or collision
683,mutilation,severe form of injury
684,subsection,section
684,drop-leaf,leaf
684,straightaway,stretch
684,dado,section
684,bend,section
684,hairpin bend,bend
684,length,section
684,elbow,bend
684,blind curve,curve
684,homestretch,stretch
684,stretch,section
685,rebuff,discourtesy
685,aggression,behavior
685,aggravation,behavior
685,snub,discourtesy
685,mock,behavior
685,insolence,discourtesy
685,terrorization,behavior
685,presumption,behavior
685,bullying,aggression
685,dirty pool,behavior
685,aggro,aggression
685,insult,discourtesy
685,scandalization,behavior
685,silent treatment,behavior
685,last straw,behavior
685,twit,insult
685,indelicacy,discourtesy
685,raising hell,behavior
685,derision,insult
685,behavior,self-assertion
685,indignity,discourtesy
685,bitchery,behavior
685,dirty tricks,behavior
685,self-assertion,behavior
685,the way of the world,behavior
686,murderess,murderer
686,ripper,killer
686,patricide,murderer
686,executioner,killer
686,headsman,hangman
686,fratricide,murderer
686,Jack the Ripper,serial killer
686,electrocutioner,killer
686,matricide,murderer
686,Booth,assassin
686,spree killer,mass murderer
686,hatchet man,killer
686,poisoner,murderer
686,Oswald,assassin
686,garroter,killer
686,suicide,killer
686,parricide,murderer
686,cutthroat,killer
686,infanticide,murderer
686,butcher,killer
686,murderer,killer
686,killer,murderer
686,gunman,killer
686,mass murderer,killer
686,assassin,killer
686,serial killer,killer
686,exterminator,killer
686,hangman,executioner
686,regicide,murderer
687,Crockett,frontiersman
687,Standish,Pilgrim
687,frontierswoman,frontiersman
687,Chapman,frontiersman
687,squatter,settler
687,Burk,settler
687,pioneer,settler
687,sourdough,frontiersman
687,Carson,frontiersman
687,Boone,frontiersman
687,Winslow,Pilgrim
687,Williams,Pilgrim
687,Bowie,frontiersman
687,Hutchinson,Pilgrim
687,Minuit,settler
687,Endecott,settler
688,front door,entrance
688,Dutch door,front door
688,side door,entrance
688,service door,entrance
688,back door,entrance
688,stage door,entrance
688,portal,entrance
688,doorway,entrance
688,hatchway,entrance
688,arch,gateway
688,pithead,entrance
688,vomitory,entrance
688,escape hatch,entrance
688,exterior door,entrance
688,porte-cochere,entrance
689,High Renaissance,artistic style
689,baroque,artistic style
689,neoclassicism,artistic style
689,rococo,artistic style
689,Romanticism,artistic style
689,classicism,artistic style
689,High Renaissance,classicism
689,baroque,classicism
689,neoclassicism,classicism
689,rococo,classicism
689,Romanticism,classicism
689,High Renaissance,response
689,baroque,response
689,neoclassicism,response
689,rococo,response
689,Romanticism,response
689,High Renaissance,manner
689,baroque,manner
689,neoclassicism,manner
689,rococo,manner
689,Romanticism,manner
689,High Renaissance,treatment
689,baroque,treatment
689,neoclassicism,treatment
689,rococo,treatment
689,Romanticism,treatment
689,High Renaissance,order
689,baroque,order
689,neoclassicism,order
689,rococo,order
689,Romanticism,order
689,High Renaissance,hang
689,baroque,hang
689,neoclassicism,hang
689,rococo,hang
689,Romanticism,hang
689,High Renaissance,setup
689,baroque,setup
689,neoclassicism,setup
689,rococo,setup
689,Romanticism,setup
689,High Renaissance,fit
689,baroque,fit
689,neoclassicism,fit
689,rococo,fit
689,Romanticism,fit
689,High Renaissance,touch
689,baroque,touch
689,neoclassicism,touch
689,rococo,touch
689,Romanticism,touch
689,High Renaissance,wise
689,baroque,wise
689,neoclassicism,wise
689,rococo,wise
689,Romanticism,wise
689,High Renaissance,form
689,baroque,form
689,neoclassicism,form
689,rococo,form
689,Romanticism,form
689,High Renaissance,drape
689,baroque,drape
689,neoclassicism,drape
689,rococo,drape
689,Romanticism,drape
689,High Renaissance,life style
689,baroque,life style
689,neoclassicism,life style
689,rococo,life style
689,Romanticism,life style
689,High Renaissance,vanity fair
689,baroque,vanity fair
689,neoclassicism,vanity fair
689,rococo,vanity fair
689,Romanticism,vanity fair
689,High Renaissance,fast lane
689,baroque,fast lane
689,neoclassicism,fast lane
689,rococo,fast lane
689,Romanticism,fast lane
689,High Renaissance,common touch
689,baroque,common touch
689,neoclassicism,common touch
689,rococo,common touch
689,Romanticism,common touch
689,High Renaissance,Tuscan order
689,baroque,Tuscan order
689,neoclassicism,Tuscan order
689,rococo,Tuscan order
689,Romanticism,Tuscan order
689,High Renaissance,Ionic order
689,baroque,Ionic order
689,neoclassicism,Ionic order
689,rococo,Ionic order
689,Romanticism,Ionic order
689,High Renaissance,Corinthian order
689,baroque,Corinthian order
689,neoclassicism,Corinthian order
689,rococo,Corinthian order
689,Romanticism,Corinthian order
689,High Renaissance,Doric order
689,baroque,Doric order
689,neoclassicism,Doric order
689,rococo,Doric order
689,Romanticism,Doric order
689,High Renaissance,Composite order
689,baroque,Composite order
689,neoclassicism,Composite order
689,rococo,Composite order
689,Romanticism,Composite order
690,birchbark canoe,canoe
690,outrigger canoe,canoe
690,gig,small boat
690,yawl,small boat
690,jolly boat,small boat
690,scull,rowing boat
690,small boat,rowing boat
690,dugout canoe,canoe
690,dinghy,small boat
690,rowing boat,small boat
690,cockleshell,small boat
690,canoe,small boat
690,kayak,small boat
690,racing boat,small boat
690,racing gig,gig
690,skiff,small boat
690,sampan,small boat
690,wherry,small boat
690,coracle,small boat
690,shell,racing boat
690,racing skiff,skiff
691,torture,maltreatment
691,brutality,maltreatment
691,oppression,maltreatment
691,cruelty,maltreatment
691,outrage,maltreatment
691,atrocity,maltreatment
691,persecution,maltreatment
691,burning,maltreatment
691,pogrom,maltreatment
691,child abuse,maltreatment
691,child neglect,maltreatment
691,judicial torture,torture
691,rack,torture
691,strappado,torture
691,nail pulling,torture
691,bastinado,torture
691,impalement,torture
691,sensory deprivation,torture
691,electric shock,torture
691,sleep deprivation,torture
691,genital torture,torture
691,crucifixion,torture
691,prolonged interrogation,torture
691,kittee,torture
691,kia quen,torture
691,dismemberment,torture
691,rendition,torture
691,picket,torture
692,chicken manure,manure
692,bonemeal,fertilizer
692,neem cake,organic fertilizer
692,fish meal,fertilizer
692,cow manure,manure
692,guano,manure
692,night soil,manure
692,green manure,organic fertilizer
692,horse manure,manure
692,manure,fertilizer
693,arithmetic,branch of mathematics
693,algebra,branch of mathematics
693,analysis,branch of mathematics
693,geometry,branch of mathematics
693,topology,branch of mathematics
693,numerical analysis,branch of analysis
693,Fourier analysis,branch of analysis
693,calculus,branch of analysis
693,Galois theory,branch of algebra
693,group theory,branch of algebra
693,vector algebra,branch of algebra
693,pure mathematics,branch of mathematics
693,metamathematics,branch of mathematics
693,decomposition,concept in mathematics
693,differential calculus,branch of calculus
693,integral calculus,branch of calculus
693,calculus of variations,branch of calculus
693,elementary geometry,branch of geometry
693,analytic geometry,branch of geometry
693,affine geometry,branch of geometry
693,projective geometry,branch of geometry
693,non-Euclidean geometry,branch of geometry
693,spherical geometry,branch of geometry
693,hyperbolic geometry,branch of geometry
693,elliptic geometry,branch of geometry
693,fractal geometry,branch of geometry
693,plane geometry,branch of geometry
693,spherical trigonometry,branch of trigonometry
693,set theory,branch of mathematics
693,linear algebra,branch of algebra
693,matrix algebra,branch of algebra
693,quadratics,concept in algebra
693,trigonometry,branch of mathematics
693,triangulation,concept in geometry
693,affine geometry,branch of geometry
693,algorism,concept in mathematics
694,strain gauge,gauge
694,depth gauge,gauge
694,wire gauge,gauge
694,gasoline gauge,gauge
694,vacuum gauge,gauge
694,water gauge,gauge
694,pressure gauge,gauge
694,surface gauge,gauge
694,rain gauge,gauge
694,manometer,gauge
694,sphygmomanometer,gauge
694,anemometer,gauge
694,water level,gauge
694,tensimeter,gauge
694,dipstick,gauge
695,deterioration,decline
695,slippage,slump
695,epilation,loss
695,sinking spell,decline
695,erosion,decline
695,nosedive,decline
695,detumescence,decline
695,ebb,decline
695,psilosis,decline
695,reducing,decline
695,loss,decline
696,embargo,trade barrier
696,protectionism,trade barrier
696,perestroika,economic policy
696,New Deal,economic policy
696,price control,control
696,wage floor,floor
696,price floor,floor
696,glass ceiling,ceiling
696,quota,trade barrier
696,fiscal policy,economic policy
696,economic policy,control
696,control,floor
696,ceiling,trade barrier
697,light,radiance
697,beam,light
697,moonlight,light
697,starlight,light
697,sunlight,light
697,lamplight,light
697,torchlight,light
697,gaslight,light
697,firelight,light
697,candlelight,light
697,friar's lantern,light
697,daylight,light
697,moonbeam,light
697,sunbeam,light
697,streamer,light
697,sky glow,light
697,counterglow,light
697,half-light,light
697,twilight,light
697,corona,light
697,sunburst,light
697,bolide,light
697,meteor,light
697,glow,light
697,aureole,light
697,autofluorescence,fluorescence
697,chemiluminescence,luminescence
697,phosphorescence,luminescence
697,bioluminescence,luminescence
697,incandescence,luminescence
697,scintillation,luminescence
697,fluorescence,luminescence
697,infrared ray,light
697,heat ray,light
697,low beam,beam
697,high beam,beam
697,laser beam,beam
698,dip,gymnastic exercise
698,hang,gymnastic exercise
698,kip,gymnastic exercise
698,handstand,gymnastic exercise
698,grand circle,gymnastic exercise
698,straddle,gymnastic exercise
698,scissors,gymnastic exercise
698,bent hang,hang
698,lever hang,hang
698,straight hang,hang
698,piked reverse hang,hang
698,inverted hang,hang
698,double leg circle,hang
698,crucifix,hang
698,reverse hang,hang
698,long fly,hang
699,differential equation,mathematical statement
699,exponential equation,exponential expression
699,linear equation,differential equation
699,biquadratic equation,quadratic equation
699,equation,mathematical statement
699,quadratic equation,differential equation
699,regression equation,mathematical statement
699,Schrodinger equation,differential equation
699,formula,mathematical statement
699,wave equation,differential equation
699,sentential function,mathematical statement
699,Maxwell's equations,differential equation
699,simultaneous equations,mathematical statement
699,partial differential equation,differential equation
699,primitive,mathematical statement
700,devastation,ruin
700,decay,deterioration
700,putrescence,decay
700,wear,deterioration
700,fragmentation,decomposition
700,putrefaction,decay
700,corrosion,deterioration
700,blight,ruin
700,rancidity,decay
700,deterioration,decay
700,decrepitude,deterioration
701,brown rice,rice
701,cracked wheat,wheat
701,pearl barley,barley
701,paddy,rice
701,pearl hominy,hominy
701,popcorn,corn
701,lye hominy,hominy
701,sweet corn,corn
701,wild rice,rice
701,white rice,rice
701,groats,grain
701,wort,malt
701,bulgur,wheat
701,grist,grain
701,millet,grain
701,oat,grain
702,balloon bomb,bomb
702,neutron bomb,bomb
702,atom bomb,bomb
702,hydrogen bomb,bomb
702,stink bomb,bomb
702,gas shell,bomb
702,thermobaric bomb,bomb
702,grenade,bomb
702,smart bomb,bomb
702,incendiary bomb,bomb
702,plastic bomb,bomb
702,car bomb,bomb
702,megaton bomb,bomb
702,chemical bomb,bomb
702,general-purpose bomb,bomb
702,microwave bomb,bomb
702,rifle grenade,bomb
702,depth charge,bomb
702,bombshell,bomb
702,cruise missile,bomb
702,bomblet,bomb
702,time bomb,bomb
702,letter bomb,bomb
702,hand grenade,bomb
702,fragmentation bomb,bomb
702,pipe bomb,bomb
702,Big Blue,bomb
702,dumb bomb,bomb
702,penetration bomb,bomb
702,laser-guided bomb,bomb
702,Bunker Buster,bomb
702,cluster bomb,bomb
702,blockbuster,bomb
702,dirty bomb,bomb
702,briefcase bomb,bomb
702,smoke bomb,bomb
702,clean bomb,bomb
702,bombie,bomb
702,remote-control bomb,bomb.
703,ham sandwich,sandwich
703,cheeseburger,hamburger
703,bacon-lettuce-tomato sandwich,sandwich
703,hotdog,sandwich
703,chicken sandwich,sandwich
703,Reuben,sandwich
703,club sandwich,sandwich
703,tunaburger,hamburger
703,snack food,chip
703,nacho,chip
703,tortilla chip,chip
